iter	Passed	Remaining
494	587	599
495	590	599
496	591	598
497	592	596
498	592	595
499	593	593
500	594	592
501	595	590
502	596	589
503	597	587
504	598	586
505	599	585
506	600	583
507	601	582
508	602	581
509	603	579
510	604	578
511	605	577
512	606	576
513	607	574
514	608	573
515	609	571
516	610	570
517	611	569
518	612	567
519	613	566
520	615	565
521	616	564
522	617	563
523	618	561
524	619	560
525	620	558
526	620	557
527	621	555
528	622	554
529	623	553
530	624	551
531	625	550
532	627	549
533	628	548
534	629	546
535	630	545
536	630	543
537	631	542
538	632	541
539	633	540
540	635	538
541	636	537
542	637	536
543	638	534
544	639	533
545	640	532
546	641	531
547	642	530
548	643	528
549	645	527
550	646	526
551	647	525
552	648	523
553	648	522
554	649	521
555	650	519
556	651	518
557	652	516
558	653	515
559	655	514
560	656	513
561	657	512
562	658	510
563	659	509
564	660	508
565	660	506
566	661	505
567	662	503
568	664	503
569	666	502
570	667	501
571	668	500
572	669	499
573	670	497
574	671	496
575	672	495
576	673	493
577	674	492
578	675	491
579	676	489
580	677	488
581	677	486
582	678	485
583	680	484
584	681	483
585	682	482
586	683	480
587	684	479
588	685	478
589	686	477
590	687	476
591	688	474
592	690	473
593	691	472
594	692	471
595	694	470
596	694	469
597	695	467
598	696	466
599	697	465
600	698	463
601	699	462
602	700	461
603	701	460
604	702	458
605	705	458
606	706	457
607	707	456
608	708	455
609	709	453
610	711	452
611	713	452
612	714	450
613	715	449
614	716	448
615	718	447
616	719	446
617	720	445
618	721	444
619	722	442
620	723	441
621	724	440
622	725	438
623	726	437
624	726	436
625	727	434
626	728	433
627	729	432
628	730	431
629	731	429
630	732	428
631	733	427
632	734	425
633	735	424
634	736	423
635	737	422
636	738	420
637	739	419
638	740	418
639	741	417
640	742	415
641	744	415
642	745	414
643	746	412
644	747	411
645	748	410
646	749	408
647	750	407
648	751	406
649	752	404
650	752	403
651	753	402
652	754	401
653	755	399
654	756	398
655	758	397
656	759	396
657	760	395
658	761	394
659	763	393
660	764	391
661	765	390
662	766	389
663	767	388
664	768	387
665	770	386
666	771	385
667	773	384
668	774	383
669	775	381
670	776	380
671	777	379
672	778	378
673	778	376
674	779	375
675	780	374
676	781	372
677	782	371
678	785	371
679	786	370
680	787	368
681	788	367
682	789	366
683	790	365
684	791	364
685	792	362
686	793	361
687	794	360
688	795	359
689	797	358
690	798	356
691	799	355
692	800	354
693	801	353
694	802	352
695	803	350
696	804	349
697	805	348
698	806	347
699	807	345
700	808	344
701	809	343
702	812	343
703	813	342
704	814	340
705	815	339
706	816	338
707	817	337
708	818	336
709	819	334
710	820	333
711	821	332
712	823	331
713	824	330
714	825	329
715	826	327
716	827	326
717	828	325
718	829	324
719	830	322
720	831	321
721	832	320
722	833	319
723	834	318
724	836	317
725	837	316
726	838	314
727	839	313
728	840	312
729	841	311
730	842	310
731	843	308
732	845	307
733	846	306
734	847	305
735	848	304
736	849	303
737	850	301
738	851	300
739	853	299
740	854	298
741	855	297
742	856	296
743	857	295
744	858	293
745	858	292
746	861	291
747	862	290
748	863	289
749	864	288
750	865	286
751	866	285
752	867	284
753	868	283
754	869	282
755	870	280
756	871	279
757	872	278
758	874	277
759	875	276
760	877	275
761	878	274
762	879	273
763	880	272
764	882	270
765	883	269
766	885	268
767	886	267
768	887	266
769	888	265
770	889	264
771	890	263
772	891	261
773	892	260
774	893	259
775	894	258
776	895	257
777	896	255
778	898	254
779	899	253
780	900	252
781	901	251
782	902	250
783	903	248
784	904	247
785	905	246
786	906	245
787	907	244
788	908	242
789	908	241
790	909	240
791	911	239
792	913	238
793	914	237
794	915	235
795	916	234
796	916	233
797	917	232
798	918	231
799	919	229
800	920	228
801	921	227
802	922	226
803	923	225
804	925	224
805	926	223
806	927	221
807	928	220
808	929	219
809	930	218
810	931	217
811	932	215
812	933	214
813	934	213
814	935	212
815	936	211
816	937	209
817	939	209
818	940	207
819	941	206
820	942	205
821	944	204
822	944	203
823	945	202
824	946	200
825	947	199
826	948	198
827	950	197
828	951	196
829	952	194
830	953	193
831	954	192
832	956	191
833	957	190
834	958	189
835	959	188
836	960	187
837	961	185
838	962	184
839	964	183
840	965	182
841	966	181
842	967	180
843	968	179
844	969	177
845	970	176
846	971	175
847	972	174
848	973	173
849	974	172
850	977	171
851	978	169
852	979	168
853	980	167
854	980	166
855	981	165
856	983	164
857	984	162
858	985	161
859	986	160
860	989	159
861	990	158
862	990	157
863	992	156
864	994	155
865	996	154
866	997	153
867	998	151
868	999	150
869	1000	149
870	1002	148
871	1003	147
872	1004	146
873	1005	144
874	1005	143
875	1006	142
876	1007	141
877	1008	140
878	1009	138
879	1010	137
880	1011	136
881	1012	135
882	1012	134
883	1013	133
884	1015	131
885	1016	130
886	1017	129
887	1018	128
888	1019	127
889	1020	126
890	1021	124
891	1022	123
892	1023	122
893	1024	121
894	1025	120
895	1026	119
896	1027	117
897	1029	116
898	1030	115
899	1031	114
900	1032	113
901	1033	112
902	1034	111
903	1035	109
904	1036	108
905	1037	107
906	1038	106
907	1039	105
908	1040	104
909	1041	102
910	1041	101
911	1042	100
912	1043	99
913	1044	98
914	1045	97
915	1046	95
916	1047	94
917	1048	93
918	1049	92
919	1050	91
920	1051	90
921	1052	89
922	1053	87
923	1054	86
924	1055	85
925	1056	84
926	1057	83
927	1058	82
928	1059	80
929	1060	79
930	1061	78
931	1062	77
932	1063	76
933	1064	75
934	1065	74
935	1066	72
936	1067	71
937	1068	70
938	1070	69
939	1071	68
940	1071	67
941	1072	66
942	1074	64
943	1075	63
944	1076	62
945	1077	61
946	1078	60
947	1079	59
948	1080	58
949	1081	56
950	1082	55
